"measurement","Filename","flux_co2","flux_ch4","flux_h2o","Avg_Temp"
"Measurement1","gga25Jun2014_f0001.txt",0.0692922914205376,7.1861985998234e-06,1.70369082792039,302.455595934959
"Measurement10","gga25Jun2014_f0001.txt",0.165614810521894,-4.01640168926528e-06,3.41288607898765,309.965196907216
"Measurement11","gga25Jun2014_f0001.txt",0.0687110481320001,7.02838273935806e-06,3.80488843102743,310.019902083333
"Measurement12","gga25Jun2014_f0001.txt",0.181582345531981,2.22896902672668e-06,3.93295127311074,310.60745
"Measurement13","gga25Jun2014_f0001.txt",0.130599374176101,-2.61409830100342e-06,5.18297768662613,311.322413541667
"Measurement14","gga25Jun2014_f0001.txt",0.170687525723109,2.70881328854801e-06,3.51155804122352,311.957894354839
"Measurement15","gga25Jun2014_f0001.txt",0.185712920405617,2.62839906293426e-06,5.01022150483696,313.704835353535
"Measurement16","gga25Jun2014_f0001.txt",0.0763402614721222,2.29690465114451e-06,2.81562226237066,313.8365625
"Measurement17","gga25Jun2014_f0001.txt",0.127586886855431,-6.70491186406826e-07,4.00647397800078,313.750765
"Measurement18","gga25Jun2014_f0001.txt",0.103447249249014,-1.93299707787086e-05,3.63945135299829,314.02236122449
"Measurement2","gga25Jun2014_f0001.txt",0.174611911172842,4.48790267935586e-06,3.8964450830401,304.771359793814
"Measurement3","gga25Jun2014_f0001.txt",0.149431063693221,8.11439620769944e-07,3.64260476158849,306.27613030303
"Measurement4","gga25Jun2014_f0001.txt",0.148505088898904,-4.36741894877632e-06,3.87135052779136,307.095701492537
"Measurement5","gga25Jun2014_f0001.txt",0.163072564228045,1.18873676283964e-06,2.66809247994811,307.615369791667
"Measurement6","gga25Jun2014_f0001.txt",0.119975786922761,1.60775836452752e-06,2.34757240676947,308.181107291667
"Measurement7","gga25Jun2014_f0001.txt",0.220604989304055,1.08279325355273e-06,3.73936816560379,309.146318947368
"Measurement8","gga25Jun2014_f0001.txt",0.0711408541488747,-3.16121495397146e-05,2.91622600529183,309.646575257732
"Measurement9","gga25Jun2014_f0001.txt",0.162110697366974,2.62533279753514e-06,4.01359459876122,309.910527368421
